year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2016,CAN,ALL,070890,460971.78,0.00013%
2016,CAN,ALL,070910,8176.86,0.0000022%
2016,CAN,ALL,070920,6301524.84,0.0017%
2016,CAN,ALL,070930,4735814.12,0.0013%
2016,CAN,ALL,070940,1912302.01,0.00052%
2016,CAN,ALL,070951,157702106.67,0.043%
2016,CAN,ALL,070960,298344111.34,0.082%
2016,CAN,ALL,070970,6960324.45,0.0019%
2016,CAN,ALL,070990,23977433.39,0.0066%
2016,CAN,ALL,071010,375413.79,0.00010%
2016,CAN,ALL,071021,15473650.6,0.0042%
2016,CAN,ALL,071022,42909951.05,0.012%
2016,CAN,ALL,071029,451530.76,0.00012%
2016,CAN,ALL,071030,187786.5,0.000051%
2016,CAN,ALL,071040,22578756.1,0.0062%
2016,CAN,ALL,071080,35848546.2,0.0098%
2016,CAN,ALL,071090,23111394.67,0.0063%
2016,CAN,ALL,071140,455879.45,0.00012%
2016,CAN,ALL,071190,1885730.18,0.00052%
2016,CAN,ALL,071220,228408.49,0.000063%
2016,CAN,ALL,071230,5092081.41,0.0014%
2016,CAN,ALL,071290,2647779.33,0.00073%
2016,CAN,ALL,071310,1122322677.9,0.31%
2016,CAN,ALL,071320,104480765.1,0.029%
2016,CAN,ALL,071331,2909425.56,0.00080%
2016,CAN,ALL,071332,26683807.75,0.0073%
2016,CAN,ALL,071333,174616768.25,0.048%
2016,CAN,ALL,071339,122493390.1,0.034%
2016,CAN,ALL,071340,1600380309.27,0.44%
2016,CAN,ALL,071350,14559392.16,0.0040%
2016,CAN,ALL,071390,11524119.17,0.0032%
2016,CAN,ALL,071420,7948078.75,0.0022%
2016,CAN,ALL,071490,225958.19,0.000062%
2016,CAN,ALL,080110,1336574.85,0.00037%
2016,CAN,ALL,080120,1530782.23,0.00042%
2016,CAN,ALL,080130,3519240.71,0.00096%
2016,CAN,ALL,080211,449001.81,0.00012%
2016,CAN,ALL,080212,3066734.28,0.00084%
2016,CAN,ALL,080221,56263.1,0.000015%
2016,CAN,ALL,080222,138641.06,0.000038%
2016,CAN,ALL,080231,1048075.31,0.00029%
2016,CAN,ALL,080232,1962862.4,0.00054%
2016,CAN,ALL,080240,17253,0.0000047%
2016,CAN,ALL,080250,400786.86,0.00011%
2016,CAN,ALL,080290,1698787.02,0.00047%
2016,CAN,ALL,080300,368049.03,0.00010%
2016,CAN,ALL,080410,1100970.04,0.00030%
2016,CAN,ALL,080420,237229.09,0.000065%
2016,CAN,ALL,080430,298726.7,0.000082%
2016,CAN,ALL,080440,12233.96,0.0000034%
2016,CAN,ALL,080450,1895909.72,0.00052%
2016,CAN,ALL,080510,435530.78,0.00012%
2016,CAN,ALL,080520,19405,0.0000053%
2016,CAN,ALL,080530,17684.03,0.0000048%
2016,CAN,ALL,080540,50680.25,0.000014%
2016,CAN,ALL,080590,401111.17,0.00011%
2016,CAN,ALL,080610,1019013.3,0.00028%
2016,CAN,ALL,080620,1390112.79,0.00038%
2016,CAN,ALL,080710,463492.43,0.00013%
2016,CAN,ALL,080720,299766.44,0.000082%
2016,CAN,ALL,080810,38272252.96,0.010%
2016,CAN,ALL,080820,376712.98,0.00010%
2016,CAN,ALL,080910,1415,3.9e-7%
2016,CAN,ALL,080920,64744168.2,0.018%
2016,CAN,ALL,080930,83294.49,0.000023%
2016,CAN,ALL,080940,201553.96,0.000055%
2016,CAN,ALL,081010,1663622.1,0.00046%
2016,CAN,ALL,081020,2858293.28,0.00078%
2016,CAN,ALL,081030,118724.44,0.000033%
2016,CAN,ALL,081040,166473969.78,0.046%
2016,CAN,ALL,081090,903982.36,0.00025%
2016,CAN,ALL,081110,2272199.61,0.00062%
2016,CAN,ALL,081120,8659497.12,0.0024%
2016,CAN,ALL,081190,269996477.25,0.074%
2016,CAN,ALL,081210,13061.6,0.0000036%
2016,CAN,ALL,081290,5491.72,0.0000015%
2016,CAN,ALL,081310,841191.14,0.00023%
2016,CAN,ALL,081320,203498.47,0.000056%
2016,CAN,ALL,081330,741675.15,0.00020%
2016,CAN,ALL,081340,4814981.77,0.0013%
2016,CAN,ALL,081350,3973156.86,0.0011%
2016,CAN,ALL,081400,148033.45,0.000041%
2016,CAN,ALL,090111,8984637.37,0.0025%
2016,CAN,ALL,090112,26791673.29,0.0073%
2016,CAN,ALL,090121,443916681.47,0.12%
2016,CAN,ALL,090122,38280538.85,0.010%
2016,CAN,ALL,090140,157281.32,0.000043%
2016,CAN,ALL,090210,8095790.99,0.0022%
2016,CAN,ALL,090220,492194.09,0.00013%
2016,CAN,ALL,090230,25819134.88,0.0071%
2016,CAN,ALL,090240,605138.54,0.00017%
2016,CAN,ALL,090300,212343.1,0.000058%
2016,CAN,ALL,090411,512145.99,0.00014%
2016,CAN,ALL,090412,1669935.61,0.00046%
2016,CAN,ALL,090420,840746.69,0.00023%
2016,CAN,ALL,090500,34663937.85,0.0095%
2016,CAN,ALL,090610,262193.43,0.000072%
2016,CAN,ALL,090620,76367.45,0.000021%
2016,CAN,ALL,090700,251608.28,0.000069%
2016,CAN,ALL,090810,524771.39,0.00014%
2016,CAN,ALL,090820,69738.78,0.000019%
2016,CAN,ALL,090830,298856,0.000082%
2016,CAN,ALL,090910,2456140.17,0.00067%
2016,CAN,ALL,090920,6548380.97,0.0018%
2016,CAN,ALL,090930,186050.52,0.000051%
2016,CAN,ALL,091010,227511.17,0.000062%
2016,CAN,ALL,091020,8366.13,0.0000023%
2016,CAN,ALL,091030,418124.79,0.00011%
2016,CAN,ALL,091040,2388.16,6.5e-7%
2016,CAN,ALL,091050,4724.39,0.0000013%
2016,CAN,ALL,091091,1062715.13,0.00029%
2016,CAN,ALL,091099,2982122.46,0.00082%
2016,CAN,ALL,100110,1576807153.01,0.43%
2016,CAN,ALL,100190,3422063347.67,0.94%
2016,CAN,ALL,100200,30817648.48,0.0084%
2016,CAN,ALL,100300,296160844.71,0.081%
2016,CAN,ALL,100400,359533557.75,0.099%
2016,CAN,ALL,100510,48465281.01,0.013%
2016,CAN,ALL,100590,292048239.65,0.080%
2016,CAN,ALL,100610,83488.53,0.000023%
2016,CAN,ALL,100620,1211230.68,0.00033%
2016,CAN,ALL,100630,5489085.42,0.0015%
2016,CAN,ALL,100640,174384.96,0.000048%
2016,CAN,ALL,100700,270468.32,0.000074%
2016,CAN,ALL,100810,5843220.89,0.0016%
2016,CAN,ALL,100820,2835897.43,0.00078%
2016,CAN,ALL,100830,84610270.37,0.023%
2016,CAN,ALL,100890,10325220.07,0.0028%
2016,CAN,ALL,110100,132087534.67,0.036%
2016,CAN,ALL,110220,1331023.13,0.00036%
2016,CAN,ALL,110230,7479.74,0.0000021%
2016,CAN,ALL,110290,11730912.39,0.0032%
2016,CAN,ALL,110311,12448530.2,0.0034%
2016,CAN,ALL,110313,7710320.56,0.0021%
2016,CAN,ALL,110319,98096898.35,0.027%
2016,CAN,ALL,110321,980788.5,0.00027%
2016,CAN,ALL,110412,105261348.38,0.029%
2016,CAN,ALL,110419,6260457.07,0.0017%
2016,CAN,ALL,110422,43577902.65,0.012%
2016,CAN,ALL,110423,6822413.19,0.0019%
2016,CAN,ALL,110429,8517001.49,0.0023%
2016,CAN,ALL,110430,10073047.38,0.0028%
2016,CAN,ALL,110510,1551697.64,0.00043%
2016,CAN,ALL,110520,13188606.2,0.0036%
2016,CAN,ALL,110610,21957225.7,0.0060%
2016,CAN,ALL,110620,786923.73,0.00022%
2016,CAN,ALL,110630,1694460.99,0.00046%
2016,CAN,ALL,110710,364168512.36,0.10%
2016,CAN,ALL,110720,344250.1,0.000094%
2016,CAN,ALL,110811,7544750.45,0.0021%
2016,CAN,ALL,110812,25476263.97,0.0070%
2016,CAN,ALL,110813,7995831.03,0.0022%
2016,CAN,ALL,110814,154132.6,0.000042%
2016,CAN,ALL,110819,2755812.7,0.00076%
2016,CAN,ALL,110820,84419.23,0.000023%
2016,CAN,ALL,110900,17435237.4,0.0048%
2016,CAN,ALL,120100,1910138681.28,0.52%
2016,CAN,ALL,120210,18301.33,0.0000050%
2016,CAN,ALL,120220,362622.68,0.000099%
2016,CAN,ALL,120400,304006978.68,0.083%
2016,CAN,ALL,120500,4231329186.68,1.2%
2016,CAN,ALL,120600,17821902.62,0.0049%
2016,CAN,ALL,120710,4573.95,0.0000013%
2016,CAN,ALL,120730,14922.76,0.0000041%
2016,CAN,ALL,120740,1052330.18,0.00029%
2016,CAN,ALL,120750,97417620.45,0.027%
2016,CAN,ALL,120760,205255.58,0.000056%
2016,CAN,ALL,120791,616726,0.00017%
2016,CAN,ALL,120799,104959333.63,0.029%
2016,CAN,ALL,120810,10020633.75,0.0027%
2016,CAN,ALL,120890,6122029.92,0.0017%
2016,CAN,ALL,120911,12948,0.0000035%
2016,CAN,ALL,120921,51697502.94,0.014%
2016,CAN,ALL,120922,10442278.29,0.0029%
2016,CAN,ALL,120923,22389467.07,0.0061%
2016,CAN,ALL,120924,648679.11,0.00018%
2016,CAN,ALL,120925,17876451.76,0.0049%
2016,CAN,ALL,120929,26563976.5,0.0073%
2016,CAN,ALL,120930,344182.48,0.000094%
2016,CAN,ALL,120991,4379134.7,0.0012%
2016,CAN,ALL,120999,3444744.28,0.00094%
2016,CAN,ALL,121010,170485.89,0.000047%
2016,CAN,ALL,121020,503938.88,0.00014%
2016,CAN,ALL,121120,202815672.89,0.056%
2016,CAN,ALL,121190,11572488.57,0.0032%
2016,CAN,ALL,121210,1249,3.4e-7%
2016,CAN,ALL,121220,25686517.94,0.0070%
2016,CAN,ALL,121291,3421390.55,0.00094%
2016,CAN,ALL,121299,7321823.28,0.0020%
2016,CAN,ALL,121300,5295790.59,0.0015%
2016,CAN,ALL,121410,15352392.32,0.0042%
2016,CAN,ALL,121490,101930278.8,0.028%
2016,CAN,ALL,130120,20327.3,0.0000056%
2016,CAN,ALL,130190,14201270.41,0.0039%
2016,CAN,ALL,130211,14152,0.0000039%
2016,CAN,ALL,130212,2281,6.3e-7%
2016,CAN,ALL,130213,14825.25,0.0000041%
2016,CAN,ALL,130214,189258,0.000052%
2016,CAN,ALL,130219,24940138.07,0.0068%
2016,CAN,ALL,130220,2374530.15,0.00065%
2016,CAN,ALL,130231,190532.8,0.000052%
2016,CAN,ALL,130232,997022.29,0.00027%
2016,CAN,ALL,130239,17405534.73,0.0048%
2016,CAN,ALL,140110,16360,0.0000045%
2016,CAN,ALL,140190,158331.39,0.000043%
2016,CAN,ALL,140490,2294280.06,0.00063%
2016,CAN,ALL,150100,22916645.13,0.0063%
2016,CAN,ALL,150200,105947683.38,0.029%
2016,CAN,ALL,150410,635411.53,0.00017%
2016,CAN,ALL,150420,12072074.8,0.0033%
2016,CAN,ALL,150430,754172.78,0.00021%
2016,CAN,ALL,150590,47601.51,0.000013%
2016,CAN,ALL,150600,2344209.27,0.00064%
2016,CAN,ALL,150710,50719540.88,0.014%
2016,CAN,ALL,150790,82847859.08,0.023%
2016,CAN,ALL,150810,17359,0.0000048%
2016,CAN,ALL,150890,16408.25,0.0000045%
2016,CAN,ALL,150910,1362072.14,0.00037%
2016,CAN,ALL,150990,254543.66,0.000070%
2016,CAN,ALL,151000,371114.17,0.00010%
2016,CAN,ALL,151110,21721.22,0.0000060%
2016,CAN,ALL,151190,149403.58,0.000041%
2016,CAN,ALL,151211,32613.91,0.0000089%
2016,CAN,ALL,151219,1210918.74,0.00033%
2016,CAN,ALL,151229,30892.67,0.0000085%
2016,CAN,ALL,151311,955800.77,0.00026%
2016,CAN,ALL,151319,13987107.15,0.0038%
2016,CAN,ALL,151321,124466.55,0.000034%
2016,CAN,ALL,151329,93104.9,0.000026%
2016,CAN,ALL,151410,1020671332.87,0.28%
2016,CAN,ALL,151490,1347619461.12,0.37%
2016,CAN,ALL,151511,2939162.47,0.00081%
2016,CAN,ALL,151519,7487735,0.0021%
2016,CAN,ALL,151521,8283269.46,0.0023%
2016,CAN,ALL,151529,15978791.13,0.0044%
2016,CAN,ALL,151530,166260.07,0.000046%
2016,CAN,ALL,151550,28023.22,0.0000077%
2016,CAN,ALL,151590,36152866.26,0.0099%
2016,CAN,ALL,151610,9184515.2,0.0025%
2016,CAN,ALL,151620,14416058.7,0.0040%
2016,CAN,ALL,151710,5924103.98,0.0016%
2016,CAN,ALL,151790,110718736.92,0.030%
2016,CAN,ALL,151800,50728776.69,0.014%
2016,CAN,ALL,151911,236825.23,0.000065%
2016,CAN,ALL,151912,53075.98,0.000015%
2016,CAN,ALL,151913,26227.57,0.0000072%
2016,CAN,ALL,151919,5510978.45,0.0015%
2016,CAN,ALL,151920,284788.11,0.000078%
2016,CAN,ALL,152010,4136824.97,0.0011%
2016,CAN,ALL,152090,414668.56,0.00011%
2016,CAN,ALL,152110,185970.02,0.000051%
2016,CAN,ALL,152190,4139663.02,0.0011%
2016,CAN,ALL,152200,1647936.44,0.00045%
2016,CAN,ALL,160100,31610380.25,0.0087%
2016,CAN,ALL,160210,63051.64,0.000017%
2016,CAN,ALL,160220,3037622.42,0.00083%
2016,CAN,ALL,160231,2549491.39,0.00070%
2016,CAN,ALL,160239,180416618.5,0.049%
2016,CAN,ALL,160241,33450997.96,0.0092%
2016,CAN,ALL,160242,7374996.55,0.0020%
2016,CAN,ALL,160249,40156691.58,0.011%
2016,CAN,ALL,160250,43461420.19,0.012%
2016,CAN,ALL,160290,484481.8,0.00013%
2016,CAN,ALL,160300,937248.27,0.00026%
2016,CAN,ALL,160411,42015923.56,0.012%
2016,CAN,ALL,160412,27454347.39,0.0075%
2016,CAN,ALL,160413,30086883.94,0.0082%
2016,CAN,ALL,160414,3394539.9,0.00093%
2016,CAN,ALL,160415,129887.15,0.000036%
2016,CAN,ALL,160419,24829469.68,0.0068%
2016,CAN,ALL,160420,4538679.15,0.0012%
2016,CAN,ALL,160430,8698696.18,0.0024%
2016,CAN,ALL,160510,37502803.69,0.010%
2016,CAN,ALL,160520,189461784.14,0.052%
2016,CAN,ALL,160530,345302849.36,0.095%
2016,CAN,ALL,160540,1409835.91,0.00039%
2016,CAN,ALL,160590,18843429.34,0.0052%
2016,CAN,ALL,170111,37360.23,0.000010%
2016,CAN,ALL,170112,39072.02,0.000011%
2016,CAN,ALL,170191,1065469.48,0.00029%
2016,CAN,ALL,170199,20122357.36,0.0055%
2016,CAN,ALL,170210,6912858.31,0.0019%
2016,CAN,ALL,170220,291896146.38,0.080%
2016,CAN,ALL,170230,57457235.05,0.016%
2016,CAN,ALL,170240,20228750.13,0.0055%
2016,CAN,ALL,170250,86332.23,0.000024%
2016,CAN,ALL,170260,20075099.99,0.0055%
2016,CAN,ALL,170290,11184491.91,0.0031%
2016,CAN,ALL,170310,1526231.42,0.00042%
2016,CAN,ALL,170390,1926334.57,0.00053%
2016,CAN,ALL,170410,63554834.39,0.017%
2016,CAN,ALL,170490,461288520.19,0.13%
2016,CAN,ALL,180100,901983.76,0.00025%
2016,CAN,ALL,180200,2228.28,6.1e-7%
2016,CAN,ALL,180310,19601296.58,0.0054%
2016,CAN,ALL,180320,100428.64,0.000028%
2016,CAN,ALL,180400,3684784.53,0.0010%
2016,CAN,ALL,180500,21586538.8,0.0059%
2016,CAN,ALL,180610,1982737.89,0.00054%
2016,CAN,ALL,180620,578220143.08,0.16%
2016,CAN,ALL,180631,203060330,0.056%
2016,CAN,ALL,180632,252160169.86,0.069%
2016,CAN,ALL,180690,457822361.33,0.13%
2016,CAN,ALL,190110,3350550.38,0.00092%
2016,CAN,ALL,190120,326325826.87,0.089%
2016,CAN,ALL,190190,191571659.09,0.053%
2016,CAN,ALL,190211,5118050.29,0.0014%
2016,CAN,ALL,190219,98646737.7,0.027%
2016,CAN,ALL,190220,22675364.06,0.0062%
2016,CAN,ALL,190230,20094276.33,0.0055%
2016,CAN,ALL,190240,3644690.39,0.0010%
2016,CAN,ALL,190300,24787,0.0000068%
2016,CAN,ALL,190410,210429431.69,0.058%
2016,CAN,ALL,190490,66634572.55,0.018%
2016,CAN,ALL,190510,18427997.69,0.0051%
2016,CAN,ALL,190520,57155858.4,0.016%
2016,CAN,ALL,190530,681423468.89,0.19%
2016,CAN,ALL,190540,37674841.6,0.010%
2016,CAN,ALL,190590,1453200479.09,0.40%
2016,CAN,ALL,200110,4771098.61,0.0013%
2016,CAN,ALL,200190,1383559.37,0.00038%
2016,CAN,ALL,200210,3979579.42,0.0011%
2016,CAN,ALL,200290,2116510.56,0.00058%
2016,CAN,ALL,200310,1140077.9,0.00031%
2016,CAN,ALL,200410,933318959.62,0.26%
2016,CAN,ALL,200490,25089774.7,0.0069%
2016,CAN,ALL,200510,1978577.26,0.00054%
2016,CAN,ALL,200520,76494887.53,0.021%
2016,CAN,ALL,200540,1819394.44,0.00050%
2016,CAN,ALL,200551,9747828.66,0.0027%
2016,CAN,ALL,200559,4200960.29,0.0012%
2016,CAN,ALL,200570,396547.6,0.00011%
2016,CAN,ALL,200580,3658766.45,0.0010%
2016,CAN,ALL,200590,39426464.68,0.011%
2016,CAN,ALL,200600,823427.09,0.00023%
2016,CAN,ALL,200710,320782.81,0.000088%
2016,CAN,ALL,200791,726687.29,0.00020%
2016,CAN,ALL,200799,37498535.85,0.010%
