symbol, Debt/Equity,Dividends $,Dividends %,EPS,Long-Term Debt,Market Capitalization,Net Income Mil,Operating Income Mil,R&D,ROE %,Revenue Mil,Share Outstanding,Shares Mil,Short-Term Debt,Total Debt,Total Liabilities,currency,cust. regression origin,cust. regression slope,key_data,latest_price,price_data
APH.to, 0.02, 0.0, 0.0, 0.18, 2.17, 1887.4199999999998, 29.0, -6.0, 1.33, 4.1, 37.0, 166.0, 166.0, 0.21, 2.38, 10.77, CAD, 11.242541151769647, -0.0009848230353929242, None, 11.37, None
APR-UN.to, 1.51, 0.8, 0.07272727272727274, 1.32, 72.32, 297.0, 39.0, 35.0, 0.0, 22.63, 44.0, 27.0, 27.0, 0.0, 72.32, 100.0, CAD, 10.672951559688068, -0.004194031193761247, None, 11.0, None
APS.to, 0.0, 0.0, 0.0, -0.78, 0.0, 105.0, -23.0, -23.0, 0.0, -169.35, 0.0, 28.0, 28.0, 0.0, 0.0, 12.45, USD, 4.363742471505698, 0.000747150569886021, None, 3.75, None
APY.to, 0.0, 0.07, 0.030434782608695657, 0.06, 0.0, 411.7, 11.0, 29.0, 0.0, 4.91, 37.0, 179.0, 179.0, 0.0, 0.0, 13.59, GBP, 2.404087102579481, -0.0032897420515896805, None, 2.3, None
AQA.to, 0.0, 0.0, 0.0, -0.04, 0.0, 81.12, -13.0, -11.0, 0.0, -855.79, 0.0, 312.0, 312.0, 0.0, 0.0, 101.72, USD, 0.279015416916617, -0.00015830833833233333, None, 0.26, None
AQN.to, 1.2, 0.61, 0.045454545454545456, 0.5, 40.92, 5743.76, 222.0, 492.0, 0.0, 7.59, 2080.0, 428.0, 428.0, 0.16, 41.08, 63.66, CAD, 12.986825914817038, -0.005408518296340735, None, 13.42, None
AQY-A.to, 0.0, 0.0, 0.0, 2.03, 0.0, 126.75, 8.0, 1.0, 0.0, 0.0, 4.0, 13.0, 13.0, 0.0, 0.0, 104.46, CAD, 9.765146730653868, -0.0003269346130773864, None, 9.75, None
AR.to, 0.01, 0.0, 0.0, 0.1, 1.15, 341.89, 18.0, 29.0, 0.0, 2.91, 171.0, 179.0, 179.0, 0.0, 1.15, 8.98, USD, 2.1115472105578883, 0.003521055788842231, None, 1.91, None
ARE.to, 0.61, 0.5, 0.029120559114735, 0.58, 16.7, 1236.2400000000002, 35.0, 41.0, 0.0, 4.73, 2743.0, 72.0, 72.0, 8.24, 24.939999999999998, 72.52, CAD, 15.262211457708467, 0.026845770845830837, None, 17.17, None
ARG.to, 0.45, 0.0, 0.0, 0.08, 19.58, 140.14000000000001, 15.0, 27.0, 0.0, 15.78, 141.0, 182.0, 182.0, 7.93, 27.509999999999998, 56.85, USD, 0.8693924415116977, 0.002044151169766047, None, 0.77, None
ARX.to, 0.24, 0.6, 0.04181184668989547, 1.3, 14.24, 5065.55, 462.0, 305.0, 0.0, 13.21, 1203.0, 353.0, 353.0, 1.43, 15.67, 41.1, CAD, 14.339605578884225, -0.005942111577684463, None, 14.35, None
ASM.to, 0.04, 0.0, 0.0, 0.04, 1.15, 68.04, 2.0, 4.0, 0.0, 3.52, 35.0, 54.0, 54.0, 8.03, 9.18, 33.17, USD, 1.3991683863227358, 0.005338632273545292, None, 1.26, None
ASND.to, 0.0, 0.0, 0.0, 0.13, 0.0, 40.81, 9.0, 12.0, 0.0, 42.08, 92.0, 77.0, 77.0, 0.0, 0.0, 55.79, USD, 0.7713158368326338, 0.003483683263347329, None, 0.53, None
ASO.to, 0.87, 0.0, 0.0, -0.1, 32.44, 238.05, -5.0, 23.0, 0.0, -4.34, 225.0, 69.0, 69.0, 3.33, 35.769999999999996, 62.26, USD, 4.170162927414518, 0.004692741451709657, None, 3.45, None
ASP.to, 0.42, 0.0, 0.0, -0.07, 13.41, 57.510000000000005, -16.0, -14.0, 28.7, -182.46, 7.0, 213.0, 213.0, 12.25, 25.66, 68.38, USD, 0.23573893221355735, 0.0010932213557288547, None, 0.27, None
ASR.to, 0.41, 0.0, 0.0, 0.19, 25.97, 674.88, 57.0, 57.0, 0.0, 8.01, 219.0, 296.0, 296.0, 2.98, 28.95, 37.34, USD, 2.718417456508698, -0.006154349130173968, None, 2.28, None
ATA.to, 0.42, 0.0, 0.0, 0.56, 20.84, 2025.7, 52.0, 91.0, 0.0, 7.08, 1151.0, 94.0, 94.0, 0.19, 21.03, 50.18, CAD, 20.664766346730648, -0.030465326934613075, None, 21.55, None
ATD-A.to, 1.17, 0.28, 0.004501607717041801, 2.95, 38.77, 35267.4, 1673.0, 2080.0, 0.0, 24.66, 51394.0, 567.0, 567.0, 0.19, 38.96, 66.85, USD, 60.91627852429514, -0.07424757048590284, None, 62.2, None
ATH.to, 0.39, 0.0, 0.0, -0.63, 24.13, 781.83, -317.0, -6.0, 0.0, -20.18, 872.0, 511.0, 511.0, 0.0, 24.13, 38.24, CAD, 1.7394304739052193, -0.0015526094781043792, None, 1.53, None
ATL.to, 0.0, 0.0, 0.0, -0.38, 91.95, 22.0, -207.0, -62.0, 0.0, -758.82, 82.0, 550.0, 550.0, 0.02, 91.97, 108.06, CAD, 0.03943713257348533, 1.3257348530293959e-05, None, 0.04, None
ATP.to, 0.0, 0.0, 0.0, -0.52, 77.96, 364.8, -58.0, 49.0, 0.0, -397.3, 355.0, 128.0, 128.0, 9.05, 87.00999999999999, 102.14, USD, 2.8579247750449914, -0.0007224955008998195, None, 2.85, None
ATZ.to, 0.0, 0.0, 0.0, 0.53, 0.0, 1888.48, 61.0, 99.0, 0.0, 23.7, 765.0, 116.0, 116.0, 20.13, 20.13, 48.81, CAD, 17.199456328734247, -0.055467126574685055, None, 16.28, None
AUG.to, 0.0, 0.0, 0.0, 0.09, 0.0, 109.60000000000001, 5.0, 1.0, 0.0, 7.52, 0.0, 80.0, 80.0, 0.0, 0.0, 6.46, CAD, 1.290859688062387, 0.00526880623875225, None, 1.37, None
AUMN.to, 0.0, 0.0, 0.0, -0.05, 0.0, 31.68, -5.0, -7.0, 0.0, -64.53, 7.0, 96.0, 96.0, 0.0, 0.0, 42.7, USD, 0.347587522495501, 0.002352249550089983, None, 0.33, None
AUP.to, 0.0, 0.0, 0.0, -0.51, 0.0, 579.6, -48.0, -53.0, 0.0, -29.71, 0.0, 84.0, 84.0, 0.0, 0.0, 15.3, USD, 7.51032669466107, -0.0053305338932213555, None, 6.9, None
AVL.to, 0.0, 0.0, 0.0, -0.02, 0.0, 14.420000000000002, -3.0, -3.0, 0.0, -2.82, 0.0, 206.0, 206.0, 0.0, 0.0, 3.71, CAD, 0.07326508698260356, 0.0006086982603479304, None, 0.07, None
AW-UN.to, 0.0, 1.63, 0.04377013963480128, 1.25, 0.0, 484.12, 16.0, 34.0, 0.0, 787.21, 40.0, 13.0, 13.0, 0.0, 0.0, 163.76, CAD, 34.88680623875226, -0.043376124775044995, None, 37.24, None
AXR.to, 0.0, 0.0, 0.0, -0.09, 0.0, 145.0, -9.0, -9.0, 0.0, -8.14, 13.0, 100.0, 100.0, 0.0, 0.0, 8.03, CAD, 1.5628001199760038, 0.0038119976004799033, None, 1.45, None
AYM.to, 0.0, 0.0, 0.0, 0.17, 0.0, 415.40000000000003, 21.0, 27.0, 0.0, 9.6, 188.0, 124.0, 124.0, 0.0, 0.0, 34.01, EUR, 3.8424661667666453, 0.0065166766646670635, None, 3.35, None
AZZ.to, 0.07, 0.0, 0.0, -0.08, 5.24, 21.25, -4.0, -2.0, 0.0, -14.71, 0.0, 85.0, 85.0, 1.19, 6.43, 24.04, USD, 0.24854313137372508, 0.00011313737252549488, None, 0.25, None
BAD.to, 0.29, 0.47, 0.016223679668622714, 1.77, 18.14, 1071.8899999999999, 66.0, 81.0, 0.0, 21.24, 544.0, 37.0, 37.0, 0.0, 18.14, 38.05, CAD, 32.04091505698861, -0.06389430113977203, None, 28.97, None
BAM-A.to, 3.5, 0.58, 0.010179010179010179, 2.65, 57.36, 55783.42, 2811.0, 8383.0, 0.0, 11.11, 51248.0, 979.0, 979.0, 0.0, 57.36, 80.77, USD, 56.63679916016797, -0.07628398320335933, None, 56.98, None
BAR.to, 0.0, 0.0, 0.0, -0.02, 0.0, 20.925, -3.0, -2.0, 0.0, -5.36, 0.0, 135.0, 135.0, 0.0, 0.0, 13.75, CAD, 0.15503686262747463, 0.0010362627474505097, None, 0.155, None
BB.to, 0.34, 0.0, 0.0, -0.61, 21.86, 7088.4, -326.0, -165.0, 26.26, -12.75, 910.0, 537.0, 537.0, 0.0, 21.86, 35.89, USD, 13.606640431913616, 0.00824319136172765, None, 13.2, None
